0
0, 18
1, 18
2, 8
2, 9
2, 10
2, 11
2, 12
2, 13
2, 14
2, 15
2, 16
2, 17
2, 18
2, 19
2, 20
3, 8
3, 20
4, 4
4, 5
4, 6
4, 7
4, 8
4, 20
5, 4
5, 8
5, 20
6, 4
6, 8
6, 14
6, 15
6, 16
6, 17
6, 18
6, 19
6, 20
7, 4
7, 8
7, 14
8, 4
8, 8
8, 14
9, 2
9, 3
9, 4
9, 8
9, 14
9, 20
9, 21
9, 22
9, 23
10, 2
10, 8
10, 14
10, 20
11, 2
11, 8
11, 14
11, 15
11, 16
11, 17
11, 18
11, 19
11, 20
12, 2
12, 8
13, 2
13, 8
14, 2
14, 3
14, 4
14, 5
14, 6
14, 7
14, 8
14, 9
14, 10
14, 11
14, 12
14, 13
15, 13
16, 13
17, 0
17, 1
17, 2
17, 3
17, 4
17, 5
17, 13
17, 21
17, 22
17, 23
18, 5
18, 13
18, 21
19, 5
19, 13
19, 21
20, 5
20, 6
20, 7
20, 8
20, 9
20, 10
20, 11
20, 12
20, 13
20, 14
20, 15
20, 16
20, 17
20, 18
20, 19
20, 20
20, 21
21, 5
21, 10
21, 17
22, 3
22, 4
22, 5
22, 10
22, 17
23, 3
23, 10
23, 17
24, 3
24, 10
24, 17
25, 3
25, 10
25, 17
26, 3
26, 10
26, 17
27, 3
27, 10
27, 11
27, 12
27, 13
27, 14
27, 15
27, 16
27, 17
28, 3
28, 16
29, 3
29, 16
30, 3
30, 16
31, 3
31, 16

2
0, 12
1, 11
1, 12

2
0, 14
0, 15
1, 14
1, 15

2
1, 13

2
1, 16
1, 17
1, 19

1
3, 9
3, 10
4, 9
4, 10
5, 9
5, 10
6, 9
6, 10

2
3, 14
3, 15
4, 14
4, 15

2
3, 17
3, 18
3, 19
4, 17
4, 18
4, 19

2
5, 5
5, 6

2
5, 7
6, 6
6, 7
7, 6
7, 7

2
5, 15
5, 16
5, 17

2
5, 18

2
5, 19

2
6, 11
6, 12
6, 13
7, 11
7, 12
7, 13
8, 12
8, 13

2
7, 3
8, 3

2
7, 17
7, 18
7, 19
8, 17
8, 18

2
9, 9
9, 10
10, 9
10, 10
11, 9

1
9, 15
9, 16
10, 15
10, 16

2
10, 3
10, 4
11, 3

2
10, 13

2
11, 13

1
12, 3
12, 4
13, 3
13, 4

1
12, 5
12, 6
12, 7
13, 5
13, 6
13, 7

2
12, 13
12, 14
12, 15

2
15, 2
15, 3
15, 4

2
15, 7
15, 8
16, 7
16, 8

2
15, 11
15, 12

1
16, 11
16, 12
17, 11
17, 12
18, 11
18, 12

2
18, 20
19, 20

2
18, 22
18, 23
19, 22
19, 23

2
21, 6
21, 7
21, 8
21, 9
22, 6
22, 7
22, 8
22, 9
23, 6
23, 7
23, 8
23, 9
24, 6
24, 7
24, 8
24, 9

1
21, 14
21, 15
21, 16
22, 15
22, 16

